employee_id,first_name,last_name,date_of_birth,gender,email,phone_number,department,position,hire_date,salary,performance_rating,address,emergency_contact,skills,education
EMP014,Callidora,Frostwhisper,1988-02-24,Female,callidora.frostwhisper@company.com,+1-555-901-2345,Finance,Financial Analyst,2015-01-07,69000.0,4.3,"123 Money St, Finance City, USA 12345",Rivan Frostwhisper (Brother) +1-555-345-6789,"Financial Modeling, Data Analysis, Budgeting, Forecasting","Bachelor of Science in Finance, Certified Financial Analyst (CFA)"
EMP015,Thanatos,Shadowalker,1989-05-25,Male,thanatos.shadowalker@company.com,+1-555-345-6789,Human Resources,HR Manager,2016-09-15,72000.0,4.4,"678 Unity Blvd, Harmony City, USA 22334",Alecto Shadowalker (Sister) +1-555-987-6543,"Conflict Resolution, Employee Engagement, Performance Management, Recruitment","Bachelor of Science in Human Resources, Certified Professional in Human Resources (PHR)"
EMP016,Galadriel,Starweaver,1990-06-15,Female,galadriel.starweaver@company.com,+1-555-432-1098,Engineering,Software Engineer,2018-05-29,85000.0,4.5,"789 Tech Dr, Silicon City, USA 33445",Eldar Starweaver (Brother) +1-555-543-2109,"Java, Python, System Design, Agile Development","Master of Science in Computer Science, Bachelor of Science in Software Engineering"
EMP017,Zephyra,Skydancer,1991-03-19,Female,zephyra.skydancer@company.com,+1-555-678-1234,Marketing,Content Strategist,2019-04-17,64000.0,4.2,"234 Cloud Ave, Storm City, USA 44556",Orion Skydancer (Brother) +1-555-876-5432,"Content Creation, SEO, Copywriting, Social Media Management","Bachelor of Arts in Marketing, Certified Content Marketing Specialist"
EMP018,Calliope,Thunderforge,1992-08-29,Female,calliope.thunderforge@company.com,+1-555-987-6543,Finance,Financial Analyst,2017-11-27,68000.0,4.3,"901 Wealth St, Prosperity City, USA 55667",Ragnar Thunderforge (Brother) +1-555-345-6780,"Financial Modeling, Data Analysis, Budgeting, Forecasting","Bachelor of Science in Finance, Certified Financial Analyst (CFA)"
EMP019,Lirath,Moonshadow,1993-12-01,Male,lirath.moonshadow@company.com,+1-555-901-2345,Research and Development,Research Scientist,2020-08-14,92000.0,4.7,"456 Innovation Blvd, Discovery City, USA 66778",Eldrin Moonshadow (Uncle) +1-555-678-9012,"Biotechnology, Data Analysis, Scientific Writing, Project Management","Doctor of Philosophy in Biotechnology, Master of Science in Biochemistry"
EMP020,Thalindra,Starwhisper,1988-02-14,Non-binary,thalindra.starwhisper@company.com,+1-555-765-4321,Human Resources,HR Manager,2016-03-10,75000.0,4.5,"789 Harmony Ln, Unity City, USA 33445",Belanor Starwhisper (Cousin) +1-555-123-4567,"Employee Relations, Recruitment, Conflict Resolution, Talent Management","Bachelor of Science in Human Resources Management, Certified Professional in Human Resources (PHR)"
EMP021,Zephyra,Stormquill,1991-03-19,Female,zephyra.stormquill@company.com,+1-555-321-0987,Marketing,Content Strategist,2018-05-22,72000.0,4.6,"123 Creative Way, Imagination City, USA 22987",Aelion Stormquill (Father) +1-555-876-5432,"Content Creation, SEO, Digital Marketing, Copywriting","Bachelor of Arts in English Literature, Certified Content Marketing Specialist (CCMS)"
EMP022,Xandros,Nightbreeze,1990-07-28,Male,xandros.nightbreeze@company.com,+1-555-432-1987,Information Technology,Systems Administrator,2019-11-15,87000.0,4.8,"321 Tech Park, Innovation Town, USA 55678",Liora Nightbreeze (Sister) +1-555-654-3210,"Network Security, System Maintenance, Cloud Computing, Technical Support","Bachelor of Science in Information Technology, Certified Information Systems Security Professional (CISSP)"
EMP023,Valindra,Moonshadow,1985-11-30,Female,valindra.moonshadow@company.com,+1-555-987-6543,Research and Development,Lead Scientist,2014-08-19,95000.0,4.9,"456 Discovery Dr, Innovation Town, USA 55679",Elaria Moonshadow (Spouse) +1-555-345-6789,"Biotechnology Research, Data Analysis, Project Management, Molecular Biology","Doctor of Philosophy in Molecular Biology, Master of Science in Biotechnology, Professional Project Management Certificate (PPMC)"
